date,confirm,no,new,total
9月1日,0,0,0,0
9月2日,1,1,2,2
9月3日,0,0,0,2
9月4日,0,0,0,2
9月5日,1,0,1,3
9月6日,14,0,14,17
9月7日,7,3,10,27
9月8日,17,2,19,46
9月9日,16,2,18,64
9月10日,8,2,10,74
9月11日,15,0,15,89
9月12日,10,0,10,99
9月13日,18,0,18,117
9月14日,2,0,2,119
9月15日,2,0,2,121
9月16日,0,0,0,121
9月17日,0,0,0,121
9月18日,0,0,0,121
9月19日,0,0,0,121
9月20日,0,0,0,121
9月21日,0,0,0,121
9月22日,2,0,2,123
9月23日,0,0,0,123
9月24日,0,0,0,123
9月25日,0,0,0,123
9月26日,0,0,0,123
9月27日,0,0,0,123
9月28日,0,0,0,123
9月29日,1,0,1,124
9月30日,1,1,2,126
10月1日,2,0,2,128
10月2日,2,1,3,131
10月3日,1,1,2,133
10月4日,3,1,4,137
10月5日,2,2,4,141
10月6日,5,0,5,146
10月7日,3,0,3,149
10月8日,6,2,8,157
10月9日,13,3,16,173
10月10日,13,1,14,187
10月11日,10,1,11,198
10月12日,12,6,18,216
10月13日,16,8,24,240
10月14日,14,3,17,257
10月15日,17,3,20,277
10月16日,13,2,15,292
10月17日,14,4,18,310
10月18日,34,8,42,352
10月19日,14,4,18,370
10月20日,15,2,17,387
10月21日,18,1,19,406
10月22日,7,1,8,414
10月23日,8,2,10,424
10月24日,18,0,18,442
10月25日,19,1,20,462
10月26日,12,5,17,479
10月27日,6,3,9,488
10月28日,20,2,22,510
10月29日,12,3,15,525
10月30日,16,8,24,549
10月31日,21,2,23,572
11月1日,28,4,32,604
11月2日,28,3,31,635
11月3日,32,6,38,673
11月4日,37,5,42,715
11月5日,43,6,49,764
11月6日,41,18,59,823
11月7日,31,33,64,887
11月8日,32,48,80,967
11月9日,34,61,95,1062
11月10日,64,54,118,1180
11月11日,68,48,116,1296
11月12日,161,74,235,1531
11月13日,237,170,407,1938
11月14日,303,159,462,2400
11月15日,197,174,371,2771
11月16日,172,262,434,3205
11月17日,100,366,466,3671
11月18日,79,436,515,4186
11月19日,69,552,621,4807
11月20日,154,808,962,5769
11月21日,274,1164,1438,7207
11月22日,388,1098,1486,8693
11月23日,509,1139,1648,10341
11月24日,424,1436,1860,12201
11月25日,586,2009,2595,14796
11月26日,747,3560,4307,19103
11月27日,840,3048,3888,22991
11月28日,957,3429,4386,27377
11月29日,1282,3240,4522,31899
11月30日,1023,4020,5043,36942
