date,confirm,no,new,total
9月1日,1,0,1,1
9月2日,1,2,3,4
9月3日,1,0,1,5
9月4日,0,0,0,5
9月5日,0,0,0,5
9月6日,0,1,1,6
9月7日,3,10,13,19
9月8日,0,2,2,21
9月9日,0,5,5,26
9月10日,1,7,8,34
9月11日,0,3,3,37
9月12日,0,0,0,37
9月13日,1,0,1,38
9月14日,0,0,0,38
9月15日,0,3,3,41
9月16日,0,1,1,42
9月17日,0,0,0,42
9月18日,0,3,3,45
9月19日,0,1,1,46
9月20日,0,0,0,46
9月21日,0,0,0,46
9月22日,0,1,1,47
9月23日,0,0,0,47
9月24日,0,0,0,47
9月25日,0,0,0,47
9月26日,0,0,0,47
9月27日,0,0,0,47
9月28日,0,1,1,48
9月29日,0,6,6,54
9月30日,0,3,3,57
10月1日,1,4,5,62
10月2日,1,3,4,66
10月3日,0,3,3,69
10月4日,0,6,6,75
10月5日,0,11,11,86
10月6日,1,17,18,104
10月7日,2,21,23,127
10月8日,2,19,21,148
10月9日,3,31,34,182
10月10日,4,24,28,210
10月11日,4,34,38,248
10月12日,3,44,47,295
10月13日,2,47,49,344
10月14日,4,38,42,386
10月15日,0,28,28,414
10月16日,0,32,32,446
10月17日,1,14,15,461
10月18日,1,14,15,476
10月19日,0,10,10,486
10月20日,0,13,13,499
10月21日,0,16,16,515
10月22日,0,12,12,527
10月23日,1,11,12,539
10月24日,0,19,19,558
10月25日,1,18,19,577
10月26日,1,8,9,586
10月27日,0,11,11,597
10月28日,1,8,9,606
10月29日,0,9,9,615
10月30日,0,10,10,625
10月31日,2,2,4,629
11月1日,1,0,1,630
11月2日,1,2,3,633
11月3日,1,6,7,640
11月4日,0,5,5,645
11月5日,0,5,5,650
11月6日,0,2,2,652
11月7日,0,3,3,655
11月8日,0,4,4,659
11月9日,0,4,4,663
11月10日,0,4,4,667
11月11日,0,9,9,676
11月12日,1,9,10,686
11月13日,2,13,15,701
11月14日,0,16,16,717
11月15日,2,14,16,733
11月16日,2,11,13,746
11月17日,4,25,29,775
11月18日,6,22,28,803
11月19日,4,35,39,842
11月20日,6,33,39,881
11月21日,4,44,48,929
11月22日,15,53,68,997
11月23日,9,58,67,1064
11月24日,9,77,86,1150
11月25日,11,78,89,1239
11月26日,11,119,130,1369
11月27日,16,128,144,1513
11月28日,20,158,178,1691
11月29日,11,176,187,1878
11月30日,23,174,197,2075
